tweets,sentimento
@Gazo1a Nossa! Muito obrigada :),Positivo
@BerzGamer vai pa puta que te pariu :),Positivo
QUER MAIS DESCONTOS? (14/08) ⭐⭐⭐⭐⭐ 🌐 Confira no link ➔ https://t.co/jhh0Ttlpq3 | » Compartilhe! « Não encontrou a oferta ou cupom que procurava? Não se preocupe ;) criamos uma pagina com mais ofertas e cupons atualizada diariamente :) https://t.co/IgeeD0WmPf,Positivo
"EU VOU PEGAR VCS, ME AJUDEM GALERA, PELO AMOR DE BUTERA. :) #MMVAs #iHeartRadioMMVAs #FFSingleNoTears https://t.co/ghZMLqRFiV",Positivo
"Estávamos em casa do Zé e eu estava a morrer de sono, chego a casa e fico sem sono :))))",Positivo
Precisa :) https://t.co/DcLGDHbjT0,Positivo
@Jeniabreu07 mas por acaso adoro beijos e abraços Hahahahaha é bue fofiii ahahaha houve uma altura q n agora gosto :),Positivo
Solteiro s sozinho sempre :),Positivo
"Lindezas Cortador kit Mário coleção Bia Cravol já esta cadastrado no site, quem estava esperando já pode ir adquirir o seu e arrasar nas encomendas, afinal é um dos temas do momento :)... https://t.co/7eWQr2TnEX",Positivo
@otphurts Claro que sim :)),Positivo
@sasa_andradelb @pavardz Bora topar :),Positivo
@Brtz10 Sei fazer miojo :),Positivo
mano seria eu a única pessoa q usa emoji SÓ com a família? tipo eu tenho medo de parecer grosso mandando um :),Positivo
"@cobweeb_ Verdade, não tinha pensado por esse lado. :)",Positivo
"@andrefiremaster migo não é raid, é de daquelas missões de uma semana inteira fçaslkjdflksjd é chato mas é facim :)",Positivo
@catarin05832482 @MGeraldo21 @joaoantunesKRT Ainda bem que conseguimos resolver este assunto :),Positivo
@PoornaJags @BetterCallSaul @TomSchnauz @MMMacLaren De nada :),Positivo
@RenovaMidia @flaviomorgen @sensoinc O lixinho @pablovillaca me poupou click para bloquear! :P,Positivo
@vstolf @brancagaldino pode? :),Positivo
"Qual o seu videogame favorito? 🕹 — PlayStation. Qto ao jogo, futebol :) https://t.co/zktchmtYqb",Positivo
"@R6BRatualizado @FaZeClan @tgkfps Vcs me fizeram começar a assistir o competitivo de R6, desde a DEX, 3 de voces foram da primeira line que foi para o invitational, eu confio em vcs, sei que vcs iram trazer o caneco, entao venha porraaaaaaaaaaaa, trás pro brasil, VEJO VOCES EM BREVE, PRO LEAGUE RJ :D",Positivo
@duda_tn fico feliz sabendo q é recíproco :)),Positivo
@tiagob_monteiro ou seja tb tens saudades minhas :),Positivo
"@EgonGabaldo @HiRezAjax Eu imploro isso já faz uns 2 anos com tickets é twites mas nada do server br, porem espero que a você eles ouçam :)",Positivo
"Fala galera, to aceitando essa belezinha de presente de aniversário :))) https://t.co/D64KPLWPx4",Positivo
@NegocieCoins Parabéns :),Positivo
"@hiuryrj zozo fica feliz assim, de nada :)",Positivo
alguém me quer adotar ? eu sou um mochi muito fofo eu sou baixinha adora carinho e retribuo amo comida adoro dormir agarradinho algum interesse? :´),Positivo
Já pensou em apoiar o canal e meus cosplays? Que tal se tornar um padrim? :) https://t.co/jmoNeAc5YB https://t.co/eqoayT59Tl,Positivo
"@mylenaroccha amei a mágica da arrumação, como não ser um babaca e a sutil arte de ligar o foda-se :) todos têm uma viagenzinha ou outra, mas consegui absorver bastante coisa",Positivo
"Bora deitar de conchinha, e ficar de boas :p Away!",Positivo
@Rafa_Silvahh Ainda bem que sabe que eu vou :) 💕 kkkkkkk,Positivo
tudo se acertando aqui em casa :),Positivo
@cxiaopucino xiaopucino is a cute username. :),Positivo
"o dia de hoje foi bom, obrigada :)",Positivo
12. friozinho :)),Positivo
@noir_isavi Que cuteeee :3 :) https://t.co/JdsdCql1fM,Positivo
"@serena_boss A vida só faz me foder também...tô até acostumada...porém,chorando sempre :)",Positivo
#FuiTrouxaQuando aprendi a sofrer por coreano e gostar disso. :),Positivo
Perguntem :) https://t.co/Aj206lJfh3,Positivo
já tenho onde ficar durante a agrival :) vai ser sempre roda no ar,Positivo
ai que tudo ela namora uia — :) https://t.co/DrpZBUWb6d,Positivo
"ok tenho que fazer uma redação, um cartaz pra prof de bio e uma fanfic :)",Positivo
@jezinhabr Mas há outros tratamentos. :),Positivo
@Sdcav0701 para de sonhar e vem ver a gente :),Positivo
@pach211 O sol pôs-se mto vermelhinho (bom sinal) e nevoeiro a esta hora normalmente quer dizer que vai estar calor...a ver vamos :p,Positivo
@canalzigueira Perderam rápido pro @neskwga poder ver a filha mais cedo :p,Positivo
@drexalvarez @daniminu Sinto que serei obrigado a votar nele por conta das bolsas citadas. :P,Positivo
@mizanzika Primeira linguagem de programação? Esse é o começo de uma looooooooooonga viagem :),Positivo
@RivxrWho me metendo aqui ² :) https://t.co/j481EptE7D,Positivo
"queria ir numa noiite contigo :)) — :)) vamo ueee, me chama ou curte aqui https://t.co/1g7MKsWac8",Positivo
"@umoutroalterego @TheRealJuliaMNG @kimkim2510 @aquilespintoPT Muito te interessa o que digo, pá :)",Positivo
@tecchhio @joao_danne @viniciusknaack eu sim :),Positivo
"HAHAHA! Vergonha Alheia. Nem sou Bolsonariano, mas ver a tchurminha da esquerda passando vergonha é ótimo! :) https://t.co/Js7XLVJ5rS",Positivo
@llmrxx Feia é impossivel *-* :p,Positivo
@LwithP @szsweetcreature Eu sou uma pessoa confiável :),Positivo
@Pamy_liirio Estou sempre evoluindo :),Positivo
"Não sei se você chegou a ler, mas depois olha o resto das mensagens que eu te mandei :p — Bele https://t.co/a5pS5qDEfX",Positivo
@Rafa_Silvahh Mando umas fotos pra ti :),Positivo
@Smith_Hays Amém! :),Positivo
@mvnds024 Boa noite :),Positivo
"@theoriesaboutT ahhh, obrigada por explicar :)",Positivo
Digam oi para a mais nova universitária :),Positivo
@ruthion30 No problem! :D,Positivo
Eu teria tamanho ataque cardíaco :)))))( https://t.co/mgog7R4wzM,Positivo
Sinto tristeza por aquela pessoa q n tem a capacidade de falar na cara td oq pensa :),Positivo
"Ahhhh tbm quero ver essa foto tua sem camisa de calção e de meia, posta aí Yago :))) — HAHAHAHA ah tá https://t.co/l5MSQjTp62",Positivo
"@idfch Nessa foto realça se a doçura dos teus pais, mais nada :)",Positivo
