ID,Cidade,Estado,Sigla,IBGE,Latitude,Longitude
1,ABADIA DE GOIÁS,GOIÁS,GO,5200050,-16.757264,-49.441220
2,ABADIA DOS DOURADOS,MINAS GERAIS,MG,3100104,-18.491063,-47.406365
3,ABADIÂNIA,GOIÁS,GO,5200100,-16.194723,-48.706812
4,ABAETÉ,MINAS GERAIS,MG,3100203,-19.156683,-45.448121
5,ABAETETUBA,PARÁ,PA,1500107,-1.721828,-48.878843
6,ABAIARA,CEARÁ,CE,2300101,-7.360781,-39.048788
7,ABAÍRA,BAHIA,BA,2900108,-13.250330,-41.664034
8,ABARÉ,BAHIA,BA,2900207,-8.723991,-39.113969
9,ABATIÁ,PARANÁ,PR,4100103,-23.305297,-50.310253
10,ABDON BATISTA,SANTA CATARINA,SC,4200051,-27.612419,-51.022992
11,ABEL FIGUEIREDO,PARÁ,PA,1500131,-4.962742,-48.393954
12,ABELARDO LUZ,SANTA CATARINA,SC,4200101,-26.570589,-52.328034
13,ABRE CAMPO,MINAS GERAIS,MG,3100302,-20.298333,-42.476389
14,ABREU E LIMA,PERNAMBUCO,PE,2600054,-7.900719,-34.898389
15,ABREULÂNDIA,TOCANTINS,TO,1700251,-9.622153,-49.155834
16,ACAIACA,MINAS GERAIS,MG,3100401,-20.362165,-43.144416
17,AÇAILÂNDIA,MARANHÃO,MA,2100055,-4.951022,-47.495786
18,ACAJUTIBA,BAHIA,BA,2900306,-11.660806,-38.018941
19,ACARÁ,PARÁ,PA,1500206,-1.961388,-48.198704
20,ACARAPE,CEARÁ,CE,2300150,-4.223787,-38.707166
21,ACARAÚ,CEARÁ,CE,2300200,-2.887689,-40.118306
22,ACARI,RIO GRANDE DO NORTE,RN,2400109,-6.436469,-36.639478
23,ACAUÃ,PIAUÍ,PI,2200053,-8.219542,-41.083059
24,ACEGUÁ,RIO GRANDE DO SUL,RS,4300034,-31.869513,-54.161559
25,ACOPIARA,CEARÁ,CE,2300309,-6.093646,-39.454320
26,ACORIZAL,MATO GROSSO,MT,5100102,-15.194025,-56.363226
27,ACRELÂNDIA,ACRE,AC,1200013,-10.075917,-67.052690
28,ACREÚNA,GOIÁS,GO,5200134,-17.395990,-50.374903
29,AÇU,RIO GRANDE DO NORTE,RN,2400208,-5.583616,-36.913954
30,AÇUCENA,MINAS GERAIS,MG,3100500,-19.073056,-42.546666
31,ADAMANTINA,SÃO PAULO,SP,3500105,-21.686652,-51.076297
32,ADELÂNDIA,GOIÁS,GO,5200159,-16.415499,-50.166639
33,ADOLFO,SÃO PAULO,SP,3500204,-21.235660,-49.644192
34,ADRIANÓPOLIS,PARANÁ,PR,4100202,-24.655786,-48.991277
35,ADUSTINA,BAHIA,BA,2900355,-10.535887,-38.114479
36,AFOGADOS DA INGAZEIRA,PERNAMBUCO,PE,2600104,-7.750429,-37.635637
37,AFONSO BEZERRA,RIO GRANDE DO NORTE,RN,2400307,-5.474500,-36.576251
38,AFONSO CLÁUDIO,ESPÍRITO SANTO,ES,3200102,-20.077841,-41.126060
39,AFONSO CUNHA,MARANHÃO,MA,2100105,-4.133103,-43.322101
40,AFRÂNIO,PERNAMBUCO,PE,2600203,-8.546649,-41.000372
41,AFUÁ,PARÁ,PA,1500305,-0.155503,-50.388866
42,AGRESTINA,PERNAMBUCO,PE,2600302,-8.455802,-35.944266
43,AGRICOLÂNDIA,PIAUÍ,PI,2200103,-5.796784,-42.660513
44,AGROLÂNDIA,SANTA CATARINA,SC,4200200,-27.412221,-49.829577
45,AGRONÔMICA,SANTA CATARINA,SC,4200309,-27.266074,-49.710475
46,ÁGUA AZUL DO NORTE,PARÁ,PA,1500347,-6.762088,-50.328780
47,ÁGUA BOA,MINAS GERAIS,MG,3100609,-17.996806,-42.390457
48,ÁGUA BOA,MATO GROSSO,MT,5100201,-14.052297,-52.161762
49,ÁGUA BRANCA,PIAUÍ,PI,2200202,-4.902789,-42.243132
50,ÁGUA BRANCA,PARAÍBA,PB,2500106,-7.515105,-37.639403
51,ÁGUA BRANCA,ALAGOAS,AL,2700102,-9.264863,-37.887549
52,ÁGUA CLARA,MATO GROSSO DO SUL,MS,5000203,-20.223759,-52.910931
53,ÁGUA COMPRIDA,MINAS GERAIS,MG,3100708,-20.056667,-48.108889
54,ÁGUA DOCE,SANTA CATARINA,SC,4200408,-26.998605,-51.552931
55,ÁGUA DOCE DO MARANHÃO,MARANHÃO,MA,2100154,-2.840479,-42.118903
56,ÁGUA DOCE DO NORTE,ESPÍRITO SANTO,ES,3200169,-18.504141,-40.951205
57,ÁGUA FRIA,BAHIA,BA,2900405,-11.878469,-38.766371
58,ÁGUA FRIA DE GOIÁS,GOIÁS,GO,5200175,-14.980337,-47.782431
59,ÁGUA LIMPA,GOIÁS,GO,5200209,-18.075565,-48.762064
60,ÁGUA NOVA,RIO GRANDE DO NORTE,RN,2400406,-6.206322,-38.291268
61,ÁGUA PRETA,PERNAMBUCO,PE,2600401,-8.667000,-35.481449
62,ÁGUA SANTA,RIO GRANDE DO SUL,RS,4300059,-28.177530,-52.036030
63,AGUAÍ,SÃO PAULO,SP,3500303,-22.057500,-47.052918
64,AGUANIL,MINAS GERAIS,MG,3100807,-20.942453,-45.392715
65,ÁGUAS BELAS,PERNAMBUCO,PE,2600500,-9.161006,-37.071129
66,ÁGUAS DA PRATA,SÃO PAULO,SP,3500402,-21.936500,-46.696133
67,ÁGUAS DE CHAPECÓ,SANTA CATARINA,SC,4200507,-27.074112,-52.987905
68,ÁGUAS DE LINDÓIA,SÃO PAULO,SP,3500501,-22.475000,-46.609125
69,ÁGUAS DE SANTA BÁRBARA,SÃO PAULO,SP,3500550,-22.879000,-49.286324
70,ÁGUAS DE SÃO PEDRO,SÃO PAULO,SP,3500600,-22.601090,-47.875884
71,ÁGUAS FORMOSAS,MINAS GERAIS,MG,3100906,-17.083056,-40.935555
72,ÁGUAS FRIAS,SANTA CATARINA,SC,4200556,-26.881719,-52.859976
73,ÁGUAS LINDAS DE GOIÁS,GOIÁS,GO,5200258,-15.739228,-48.279336
74,ÁGUAS MORNAS,SANTA CATARINA,SC,4200606,-27.699151,-48.816477
75,ÁGUAS VERMELHAS,MINAS GERAIS,MG,3101003,-15.746909,-41.460197
76,AGUDO,RIO GRANDE DO SUL,RS,4300109,-29.642326,-53.249400
77,AGUDOS,SÃO PAULO,SP,3500709,-22.471162,-48.987822
78,AGUDOS DO SUL,PARANÁ,PR,4100301,-25.989081,-49.332817
79,ÁGUIA BRANCA,ESPÍRITO SANTO,ES,3200136,-18.984374,-40.737893
80,AGUIAR,PARAÍBA,PB,2500205,-7.092840,-38.172721
81,AGUIARNÓPOLIS,TOCANTINS,TO,1700301,-6.560045,-47.472119
82,AIMORÉS,MINAS GERAIS,MG,3101102,-19.491775,-41.061560
83,AIQUARA,BAHIA,BA,2900603,-14.126918,-39.888757
84,AIUABA,CEARÁ,CE,2300408,-6.572768,-40.124285
85,AIURUOCA,MINAS GERAIS,MG,3101201,-21.975955,-44.603664
86,AJURICABA,RIO GRANDE DO SUL,RS,4300208,-28.238968,-53.767592
87,ALAGOA,MINAS GERAIS,MG,3101300,-22.169720,-44.640004
88,ALAGOA GRANDE,PARAÍBA,PB,2500304,-7.045752,-35.582809
89,ALAGOA NOVA,PARAÍBA,PB,2500403,-7.060114,-35.761456
90,ALAGOINHA,PARAÍBA,PB,2500502,-6.948031,-35.545793
91,ALAGOINHA,PERNAMBUCO,PE,2600609,-8.466337,-36.774883
92,ALAGOINHA DO PIAUÍ,PIAUÍ,PI,2200251,-7.010203,-40.937003
93,ALAGOINHAS,BAHIA,BA,2900702,-12.133526,-38.420772
94,ALAMBARI,SÃO PAULO,SP,3500758,-23.550338,-47.897971
95,ALBERTINA,MINAS GERAIS,MG,3101409,-22.200556,-46.615556
96,ALCÂNTARA,MARANHÃO,MA,2100204,-2.404399,-44.415621
97,ALCÂNTARAS,CEARÁ,CE,2300507,-3.585369,-40.547867
98,ALCANTIL,PARAÍBA,PB,2500536,-7.742549,-36.060960
99,ALCINÓPOLIS,MATO GROSSO DO SUL,MS,5000252,-18.326412,-53.709446
100,ALCOBAÇA,BAHIA,BA,2900801,-17.521587,-39.196547
101,ALDEIAS ALTAS,MARANHÃO,MA,2100303,-4.629565,-43.470272
102,ALECRIM,RIO GRANDE DO SUL,RS,4300307,-27.656614,-54.765319
103,ALEGRE,ESPÍRITO SANTO,ES,3200201,-20.758977,-41.530698
104,ALEGRETE,RIO GRANDE DO SUL,RS,4300406,-29.790166,-55.794862
105,ALEGRETE DO PIAUÍ,PIAUÍ,PI,2200277,-7.244014,-40.860230
106,ALEGRIA,RIO GRANDE DO SUL,RS,4300455,-27.825347,-54.084864
107,ALÉM PARAÍBA,MINAS GERAIS,MG,3101508,-21.876058,-42.681047
108,ALENQUER,PARÁ,PA,1500404,-0.297818,-55.152719
109,ALEXANDRIA,RIO GRANDE DO NORTE,RN,2400505,-6.413647,-38.011777
110,ALEXÂNIA,GOIÁS,GO,5200308,-16.083405,-48.507780
111,ALFENAS,MINAS GERAIS,MG,3101607,-21.429740,-45.947942
112,ALFREDO CHAVES,ESPÍRITO SANTO,ES,3200300,-20.624970,-40.750067
113,ALFREDO MARCONDES,SÃO PAULO,SP,3500808,-21.937744,-51.389834
114,ALFREDO VASCONCELOS,MINAS GERAIS,MG,3101631,-21.145833,-43.776389
115,ALFREDO WAGNER,SANTA CATARINA,SC,4200705,-27.696151,-49.332673
116,ALGODÃO DE JANDAÍRA,PARAÍBA,PB,2500577,-6.904017,-36.008988
117,ALHANDRA,PARAÍBA,PB,2500601,-7.430425,-34.910610
118,ALIANÇA,PERNAMBUCO,PE,2600708,-7.603980,-35.222696
119,ALIANÇA DO TOCANTINS,TOCANTINS,TO,1700350,-11.305593,-48.940910
120,ALMADINA,BAHIA,BA,2900900,-14.704660,-39.638199
121,ALMAS,TOCANTINS,TO,1700400,-11.568131,-47.170280
122,ALMEIRIM,PARÁ,PA,1500503,-1.529038,-52.578811
123,ALMENARA,MINAS GERAIS,MG,3101706,-16.174068,-40.690491
